,time,value,value_classification
0,2025-05-13 00:00:00+00:00,70,Greed
1,2025-05-14 00:00:00+00:00,73,Greed
2,2025-05-15 00:00:00+00:00,70,Greed
3,2025-05-16 00:00:00+00:00,71,Greed
4,2025-05-17 00:00:00+00:00,74,Greed
5,2025-05-18 00:00:00+00:00,74,Greed
6,2025-05-19 00:00:00+00:00,74,Greed
7,2025-05-20 00:00:00+00:00,71,Greed
8,2025-05-21 00:00:00+00:00,70,Greed
9,2025-05-22 00:00:00+00:00,72,Greed
10,2025-05-23 00:00:00+00:00,78,Extreme Greed
11,2025-05-24 00:00:00+00:00,66,Greed
12,2025-05-25 00:00:00+00:00,74,Greed
13,2025-05-26 00:00:00+00:00,73,Greed
14,2025-05-27 00:00:00+00:00,74,Greed
15,2025-05-28 00:00:00+00:00,71,Greed
16,2025-05-29 00:00:00+00:00,74,Greed
17,2025-05-30 00:00:00+00:00,60,Greed
18,2025-05-31 00:00:00+00:00,50,Neutral
19,2025-06-01 00:00:00+00:00,56,Greed
20,2025-06-02 00:00:00+00:00,64,Greed
21,2025-06-03 00:00:00+00:00,64,Greed
22,2025-06-04 00:00:00+00:00,62,Greed
23,2025-06-05 00:00:00+00:00,57,Greed
24,2025-06-06 00:00:00+00:00,45,Fear
25,2025-06-07 00:00:00+00:00,52,Neutral
26,2025-06-08 00:00:00+00:00,62,Greed
27,2025-06-09 00:00:00+00:00,62,Greed
28,2025-06-10 00:00:00+00:00,71,Greed
29,2025-06-11 00:00:00+00:00,72,Greed
30,2025-06-12 00:00:00+00:00,71,Greed
31,2025-06-13 00:00:00+00:00,61,Greed
32,2025-06-14 00:00:00+00:00,63,Greed
33,2025-06-15 00:00:00+00:00,60,Greed
34,2025-06-16 00:00:00+00:00,61,Greed
35,2025-06-17 00:00:00+00:00,68,Greed
36,2025-06-18 00:00:00+00:00,52,Neutral
37,2025-06-19 00:00:00+00:00,57,Greed
38,2025-06-20 00:00:00+00:00,54,Neutral
39,2025-06-21 00:00:00+00:00,49,Neutral
40,2025-06-22 00:00:00+00:00,42,Fear
41,2025-06-23 00:00:00+00:00,47,Neutral
42,2025-06-24 00:00:00+00:00,65,Greed
